PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61456,DEV,"39,19",Roborough,Tamerton [Foliot],,,SX4760,,50.419869,-4.155102,247000.0,60000.0,1066,1086
61461,DEV,"1,21",Roborough,[Kings] Tamerton,,,SX4558,,50.40137,-4.182409,245000.0,58000.0,1066,1086
61466,STS,"2,22",Offlow,Tamhorn,,,SK1807,,52.660442,-1.735304,418000.0,307000.0,1066,1086
61471,STS,"1,9;30",Offlow,Tamworth,,,SK2004,,52.633404,-1.705917,420000.0,304000.0,1066,1086
61476,WAR,"1,5",Offlow,Tamworth,,,SK2004,,52.633404,-1.705917,420000.0,304000.0,1066,1086
61486,SUR,"19,4",Tandridge,Tandridge,,,TQ3750,,51.232746,-0.039085,537000.0,150000.0,1066,1086
61491,YKS,"6N139. SN,CtA38",Land of Count Alan,[East] Tanfield,North Riding,,SE2877,,54.188024,-1.572423,428000.0,477000.0,1066,1086
61496,YKS,"5W38 and note. SW,H9",Hallikeld,[East] Tanfield,West Riding,,SE2877,,54.188024,-1.572423,428000.0,477000.0,1066,1086
61501,YKS,"6N140. SN,CtA39",Land of Count Alan,[West] Tanfield,North Riding,,SE2679,,54.206102,-1.602899,426000.0,479000.0,1066,1086
61506,SUS,"2,6",Pagham,Tangmere,Chichester,,SU9006,,50.846523,-0.722971,490000.0,106000.0,1066,1086
61511,YKS,"5W33. SW,St9",Staincross,Tankersley,West Riding,,SK3499,,53.486641,-1.489073,434000.0,399000.0,1066,1086
61516,SUF,"6,304",Bishop's,Tannington,,,TM2467,,52.255558,1.280582,624000.0,267000.0,1066,1086
61521,YKS,"9W64 and note. 9W78-84;96. SW,O15",`Osgodcross',Tanshelf,West Riding,,SE4522,,53.692533,-1.320004,445000.0,422000.0,1066,1086
61526,DBY,"1,12. 10,12",Hamston,Tansley,,,SK3259,,53.12723,-1.523231,432000.0,359000.0,1066,1086
61531,NTH,"1,24-25",Willybrook,Tansor,,,TL0590,,52.497825,-0.454711,505000.0,290000.0,1066,1086
61536,YKS,"14E2 and note. SE,Hol5",Holderness [Middle Hundred],Tansterne,East Riding,,TA2237,,53.814998,-0.148468,522000.0,437000.0,1066,1086
61541,YKS,"1N30. 5N28. 29N9. 31N5. SN,L37(-38)",Langbaurgh,Tanton,North Riding,,NZ5210,,54.482705,-1.198932,452000.0,510000.0,1066,1086
61546,DEV,"3,92",Fremington,Tapeley,,,SS4729,,51.039925,-4.183752,247000.0,129000.0,1066,1086
61551,BUK,"4,15",Burnham,Taplow,,,SU9182,,51.52959,-0.68954,491000.0,182000.0,1066,1086
61561,DBY,"1,1. 17,8",`Scarsdale',Tapton,,,SK3972,,53.243615,-1.417044,439000.0,372000.0,1066,1086
61566,CHS,"R1,3",[West] Derby,Tarbock,South Lancashire,,SJ4687,,53.377096,-2.813183,346000.0,387000.0,1066,1086
61571,WOR,"1,4-5",`Came',Tardebigge,,,SO9969,,52.319115,-2.016086,399000.0,269000.0,1066,1086
61576,GLS,"31,8. 44,1",Cirencester,Tarlton,,,ST9599,,51.689735,-2.073724,395000.0,199000.0,1066,1086
61581,SOM,"24,12-13",Bempstone,Tarnock,,,ST3752,,51.263655,-2.904325,337000.0,152000.0,1066,1086
61586,CHS,"17,3",Rushton,Tarporley,,,SJ5562,,53.153237,-2.674361,355000.0,362000.0,1066,1086
61596,DOR,"6,1",Badbury,Tarrant [Crawford],,,ST9203,,50.826473,-2.114946,392000.0,103000.0,1066,1086
61606,DOR,"19,8",Pimperne,Tarrant [Hinton],,,ST9311,,50.898427,-2.100904,393000.0,111000.0,1066,1086
61611,DOR,"6,3",Pimperne,Tarrant [Keyneston],,,ST9204,,50.835465,-2.114968,392000.0,104000.0,1066,1086
61616,DOR,"21,1",Pimperne,Tarrant [Launceston],,,ST9409,,50.880453,-2.08665,394000.0,109000.0,1066,1086
61621,DOR,"10,6",Pimperne,Tarrant [Monkton],,,ST9408,,50.871461,-2.086633,394000.0,108000.0,1066,1086
61626,SUS,"10,43;107",`Flexborough',Tarring [Neville],Pevensey,,TQ4403,,50.808658,0.042464,544000.0,103000.0,1066,1086
61641,SUS,"2,9(-10)",`Brightford',[West] Tarring,Bramber,,TQ1304,,50.824516,-0.397008,513000.0,104000.0,1066,1086
61651,CHS,B4,Rushton,Tarvin,,,SJ4867,,53.197538,-2.779841,348000.0,367000.0,1066,1086
61656,NFK,"4,56. 9,219;227. 11,4-5. 19,39",`Depwade',Tasburgh,,,TM2095,,52.508497,1.240436,620000.0,295000.0,1066,1086
61661,HAM,"6,10",Redbridge,Tatchbury,,,SU3214,,50.924566,-1.546075,432000.0,114000.0,1066,1086
61666,LIN,"2,20",`Calcewath',{Tatebi},Lindsey South Riding,,TF4274,approximate,53.24406,0.126554,542000.0,374000.0,1066,1086
61671,YKS,1L5. See also CHS Y6,Amounderness,Tatham,North Lancashire,,SD6069,,54.115317,-2.613399,360000.0,469000.0,1066,1086
61676,LIN,"13,28(-29). 38,12. CS1-3",`Louthesk',Tathwell,Lindsey South Riding,,TF3282,,53.318505,-0.019887,532000.0,382000.0,1066,1086
61686,SUR,"5,4",Tandridge,Tatsfield,,,TQ4257,,51.294429,0.035261,542000.0,157000.0,1066,1086
61691,CHS,"8,1",`Duddeston',Tattenhall,,,SJ4858,,53.116646,-2.778377,348000.0,358000.0,1066,1086
61696,NFK,"40,1",`Brothercross',Tatterford,,,TF8628,,52.817469,0.758707,586000.0,328000.0,1066,1086
61701,NFK,"8,110",`Brothercross',Tattersett,,,TF8529,,52.826791,0.744452,585000.0,329000.0,1066,1086
61706,LIN,"29,33",Horncastle,Tattershall,Lindsey South Riding,,TF2157,,53.09652,-0.194387,521000.0,357000.0,1066,1086
61711,SUF,"16,46. 36,9;12",Sandford,Tattingstone,,,TM1337,,51.9906,1.100913,613000.0,237000.0,1066,1086
61716,DEV,"15,56",Braunton,Tattiscombe,,,SS6346,,51.196746,-3.962142,263000.0,146000.0,1066,1086
61721,CHS,"9,11. 20,3",Bucklow,Tatton,,,SJ7481,,53.325292,-2.391811,374000.0,381000.0,1066,1086
61726,DOR,"49,10. 55,23",Cullifordtree,Tatton,,,SY6382,,50.6365,-2.524562,363000.0,82000.0,1066,1086
61731,SOM,"2,1-5;(6-7);8-9. 19,40",Taunton,Taunton,,,ST2224,,51.010067,-3.113199,322000.0,124000.0,1066,1086
61736,NFK,"1,55. 4,33. 8,7. 10,36. 10a,1. 20,27",Taverham,Taverham,,,TG1613,,52.671663,1.193325,616000.0,313000.0,1066,1086
61741,DEV,"5,1",Lifton,Tavistock,,,SX4874,,50.545945,-4.14673,248000.0,74000.0,1066,1086
