"","id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp","model_age_mean","model_age_sd"
"736",591,"horseshoe_east",89.613358,2962.459123,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kôk Beng (Pr.)",1035,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.93209,13.36981,"graphbased",384359.8,1478282,NA,1066.32563448945,140.792376562481
"737",651,"horseshoe_east",90,2962.737872,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"Kôk Putrea (T.)",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",103.81818,13.33698,"regression",372015.1,1474691,NA,1009.00654591237,167.367964003425
"738",372,"horseshoe_east",83.333261,2981.306931,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Chamrieng (Pr.)",1067.198,"Date derived through multiple linear regression (Klassen et al. 2018).",104.0812,13.28268,"regression",NA,NA,NA,1088.12908391036,140.301619591262
"739",1063,"square",90,2981.85965,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,"Phnom Sruoch",815,"Known",104.1654,13.48893,"empirical",NA,NA,815,815,0
"740",1046,"square",180,2983.876842,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kouk Arak",933,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.77312,13.42125,"graphbased",367169.7,1484052,NA,887.919352829016,142.031604835986
"741",549,"horseshoe_east",76.690777,2984.568232,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kuk Trâpeang Lopov (Pr.)",949.9,"Date derived from art historical analyses of lintels (Polkinghorne 2007) and inscriptions (Lustig 2009).",103.82091,13.41225,"empirical",372340.1,1483032,949.9,949.9,0
"742",247,"square",69.507386,2989.457432,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Unknown",992,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.74434,13.45762,"graphbased",364077.1,1488087,NA,907.042418662427,381.97132043744
"743",197,"horseshoe_east",90.376944,2989.462278,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Prasat Bos Knher (T.)",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.78648,13.47593,"regression",368648.2,1490095,NA,933.823832352733,141.187628605563
"744",271,"horseshoe_east",75.963757,3016.987743,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"Unknown",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",104.05657,13.4049,"graphbased",397871.8,1482112,NA,1012.7361915589,168.84901383158
"745",1039,"square",87.172909,3019.803847,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tuol Trâpeang So",933,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.77844,13.41775,"graphbased",367750.9,1483657,NA,898.820778408102,139.922787994128
"746",402,"horseshoe_east",87.986391,3027.468955,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kôk Prasat",923,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.85907,13.32467,"graphbased",376429,1473328,NA,912.454071787928,139.662506307835
"747",535,"horseshoe_east",95.906203,3028.958916,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Meas Phos (Pr.)",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.99097,13.32661,"regression",390723.3,1473475,NA,1081.79237983316,141.089990046895
"748",153,"causeway_2",90,3030.828236,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Pong Toek (Pr.)",960,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.91063,13.50387,"graphbased",382101.9,1493125,NA,884.331640519175,143.741711368197
"749",1065,"square",89.81371,3032.018612,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968.391595954384,167.047373598005
"750",142,"horseshoe_east",90,3037.218945,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Phlov Prasat (Pr.)",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.91614,13.52919,"regression",382722.7,1495926,NA,955.041583357145,141.684884108437
